,U,K
0,0.5251609,0.47483915
1,0.5695172,0.43048283
2,0.90114796,0.09885208
3,0.82030755,0.17969245
4,0.8851453,0.11485465
5,0.7429725,0.2570275
6,0.7429725,0.2570275
7,0.800373,0.19962697
8,0.85493314,0.14506692
9,0.8523704,0.14762963
10,0.77016175,0.22983822
11,0.84449935,0.1555007
12,0.8443276,0.1556724
13,0.3708491,0.6291509
14,0.6028117,0.3971883
15,0.47615466,0.5238454
16,0.7981751,0.20182492
17,0.6524088,0.3475912
18,0.75371933,0.24628064
19,0.59367615,0.40632388
20,0.802078,0.19792198
21,0.562118,0.43788204
22,0.322896,0.677104
23,0.66027045,0.33972955
24,0.6052198,0.39478025
25,0.44310832,0.5568917
26,0.8337193,0.16628069
27,0.85369635,0.14630367
28,0.80027837,0.19972166
29,0.84091496,0.15908496
30,0.65731317,0.3426868
31,0.8584065,0.14159353
32,0.9055802,0.094419725
33,0.8287765,0.17122349
34,0.8236769,0.1763231
35,0.6285364,0.37146363
36,0.3001945,0.69980544
37,0.8190233,0.18097672
38,0.4297346,0.5702654
39,0.3617509,0.63824916
40,0.41183332,0.5881667
41,0.28663594,0.71336406
42,0.29457554,0.7054245
43,0.7084697,0.29153028
44,0.45033285,0.5496672
45,0.34996656,0.6500334
46,0.42553562,0.5744644
47,0.2512726,0.74872744
48,0.46933907,0.5306609
49,0.29274765,0.7072524
50,0.5840896,0.4159104
51,0.75990415,0.24009581
52,0.80309933,0.19690062
53,0.32452595,0.67547405
54,0.7803034,0.21969655
55,0.58996534,0.41003466
56,0.7533758,0.24662416
57,0.4726904,0.5273096
58,0.8099481,0.19005187
59,0.27317804,0.7268219
60,0.26139995,0.7386
61,0.32357937,0.6764207
62,0.56411,0.43589002
63,0.53294057,0.46705943
64,0.27028257,0.7297175
65,0.35193273,0.6480673
66,0.27426305,0.7257369
67,0.29168844,0.7083116
68,0.25881162,0.7411884
69,0.63595176,0.3640482
70,0.90854,0.091460034
71,0.53158724,0.46841282
72,0.8789132,0.12108681
73,0.7854523,0.21454768
74,0.58527434,0.4147257
75,0.4583258,0.5416742
76,0.27317753,0.72682244
77,0.2613999,0.73860013
78,0.56410956,0.4358904
79,0.5329406,0.46705937
80,0.40757066,0.5924294
81,0.4167554,0.58324456
82,0.1987617,0.80123824
83,0.46347395,0.536526
84,0.3214429,0.6785571
85,0.49699065,0.5030094
86,0.5982716,0.40172842
87,0.657762,0.34223807
88,0.7526177,0.24738228
