,U,K
0,0.9527702,0.047229823
1,0.1575417,0.84245825
2,0.99578553,0.0042144693
3,0.9697837,0.030216288
4,0.9784801,0.02151984
5,0.94285136,0.057148658
6,0.94285136,0.057148658
7,0.96984476,0.030155212
8,0.9492087,0.05079127
9,0.94460416,0.05539585
10,0.94260633,0.057393674
11,0.9838198,0.016180236
12,0.9918296,0.008170394
13,0.93149644,0.06850357
14,0.96417946,0.035820518
15,0.12028462,0.8797154
16,0.9427274,0.057272594
17,0.9497384,0.05026167
18,0.9608445,0.039155427
19,0.32566544,0.6743346
20,0.97921467,0.020785304
21,0.93498605,0.06501395
22,0.44604006,0.5539599
23,0.3986588,0.6013411
24,0.9467727,0.053227227
25,0.9855753,0.014424719
26,0.9623166,0.037683457
27,0.98305595,0.016944021
28,0.95305187,0.04694818
29,0.96423763,0.035762347
30,0.9005903,0.09940963
31,0.96883494,0.031165104
32,0.9914722,0.008527874
33,0.9883309,0.011669081
34,0.972292,0.027707929
35,0.9532234,0.046776593
36,0.032201394,0.9677986
37,0.9897684,0.010231581
38,0.25095925,0.7490408
39,0.016422523,0.9835775
40,0.08543965,0.9145603
41,0.012376789,0.9876232
42,0.028837623,0.9711623
43,0.9409844,0.059015613
44,0.87149495,0.12850508
45,0.083175056,0.91682494
46,0.8929254,0.10707466
47,2.2474005e-05,0.99997747
48,0.9452304,0.054769583
49,0.00062870677,0.99937135
50,0.9593402,0.040659737
51,0.9559301,0.04406993
52,0.9837821,0.016217813
53,0.8958733,0.10412673
54,0.87752795,0.122472115
55,0.9175599,0.08244003
56,0.9335719,0.066428125
57,0.38900355,0.6109965
58,0.9529369,0.047063097
59,0.052329164,0.9476709
60,0.011904786,0.98809516
61,0.033557564,0.9664424
62,0.98058265,0.019417368
63,0.49641743,0.5035826
64,0.8870397,0.11296029
65,0.0004389838,0.999561
66,0.021619165,0.97838086
67,0.066076696,0.93392324
68,0.00015707189,0.9998429
69,0.51239055,0.48760945
70,0.99858344,0.0014165349
71,0.74498904,0.2550109
72,0.9720987,0.027901338
73,0.8691251,0.1308749
74,0.9684001,0.03159991
75,0.6128485,0.38715145
76,0.052329175,0.9476709
77,0.011904764,0.98809516
78,0.98058265,0.019417373
79,0.49641728,0.5035827
80,0.9478894,0.052110568
81,0.031719677,0.96828026
82,7.682793e-05,0.9999231
83,0.66242033,0.3375797
84,0.9649922,0.035007745
85,0.13603163,0.86396843
86,0.95884854,0.041151445
87,0.9433652,0.056634765
88,0.9585908,0.041409146
